populacao,ano,amazonia,fronteira,capital,latitude,longitude,altitude,area,sigla_uf,nome_uf,venda_gasolina,venda_etanol,venda_diesel,emissao_co,emissao_nox,emissao_covnm,emissao_mp25_total,emissao_mpcomb,emissao_co2e,energia_renovavel,municipio,regiao,uf_regiao,cluster
6717.0,2020,S,S,N,-9.433,-70.493,25,5981137,AC,ACRE,460000,0,607000,1648.129859157545,1751.974461914862,233.4676749472194,69.27641129968363,38.89763826415152,329.9485574648981,0.144566009601463,Santa Rosa do Purus,N,Norte,1
23236.0,2020,S,S,N,-10.151,-67.736,201,1837294,AC,ACRE,4882943,493120,4527500,4748.567923267154,3886.1637237394966,683.9327954605277,162.59416025304955,85.51651403110414,818.2554856795964,0.371152435217974,Senador Guiomard,N,Norte,18
46511.0,2020,S,S,N,-9.066,-68.657,150,25278095,AC,ACRE,4625100,118000,3541500,2091.727374095293,1541.6670937376755,298.45502237334097,65.95745151564026,33.839678147613625,348.844945079583,0.2320286581853809,Sena Madureira,N,Norte,1
43151.0,2020,S,S,N,-8.161,-70.766,168,15553430,AC,ACRE,4305000,0,9521000,2921.612859704049,4174.368769371285,412.2861517897084,157.3283492090732,93.26508920143904,691.337538954413,0.1331644066056939,Tarauacá,N,Norte,1
19596.0,2020,S,S,N,-10.652,-68.504,150,5250931,AC,ACRE,1770000,69644,1733000,2022.928093070984,1752.3853613031615,288.7478067272049,72.26034145045976,38.667299520606456,362.5445141612443,0.2502145564627651,Xapuri,N,Norte,1
18824.0,2020,S,S,N,-9.588,-67.533,145,2984643,AC,ACRE,2396000,0,2429500,2835.72238639581,2547.3281456462323,402.3871675424154,104.10644512638969,56.30052595067199,521.178251505024,0.1509968862868329,Porto Acre,N,Norte,1
16220.0,2020,S,N,N,-3.221,-64.804,75,5911754,AM,AMAZONAS,1270000,0,1997000,2000.177594928912,2363.960944243499,282.986278298686,91.75483774740948,52.61522556910431,424.108364861907,0.140477037403664,Alvarães,N,Norte,1
11736.0,2020,S,S,N,-3.364,-68.198,58,4758821,AM,AMAZONAS,235000,0,384000,518.7368334752449,627.0366179145618,73.37057884319553,24.246982488792224,13.96296988077011,111.3804355582246,0.1396076374314057,Amaturá,N,Norte,1
13956.0,2020,S,N,N,-3.58,-61.404,28,2453934,AM,AMAZONAS,370000,0,105000,477.40144223307067,177.73320360141358,68.11379510775971,9.414349871303465,3.7655452079059946,62.72977740358012,0.1805459875548136,Anamã,N,Norte,1
21477.0,2020,S,N,N,-3.773,-61.644,120,5795283,AM,AMAZONAS,2295000,15000,669088,1934.7668927464204,731.9035686995392,276.34234788631466,38.54557388915819,15.520374726845684,254.8317624870497,0.2077939511660302,Anori,N,Norte,1
22359.0,2020,S,N,N,-7.197,-59.891,135,54239904,AM,AMAZONAS,2637000,56847,5218500,3314.070968151203,4436.17534989497,469.2542535113761,168.86762092881503,98.97726593545512,752.430384568825,0.1737475069017784,Apuí,N,Norte,18
20398.0,2020,S,S,N,-4.372,-70.192,65,76354985,AM,AMAZONAS,0,0,480000,137.65808216709536,428.9022627666454,19.082818446056404,14.914604065803308,9.677252821123286,55.70349005575088,0.105581510949392,Atalaia do Norte,N,Norte,1
40290.0,2020,S,N,N,-3.58,-59.131,36,7599282,AM,AMAZONAS,5497000,0,10796730,3797.939449888505,5093.221787837376,536.4419114542114,193.7533803728708,113.6586755645176,865.5105392720849,0.1356002844182765,Autazes,N,Norte,18
27638.0,2020,S,S,N,-0.975,-62.924,47,122475728,AM,AMAZONAS,1915000,0,1059000,1356.8083431539092,804.4993541144786,193.14207916728583,36.42728605201504,17.51247557355443,208.10053092326075,0.1660422563484507,Barcelos,N,Norte,1
32483.0,2020,S,N,N,-2.793,-57.07,19,5750534,AM,AMAZONAS,2805640,0,807979,1557.438655323574,585.6454563209588,222.20073824264665,30.900746590169323,12.416880135541504,205.22480845465344,0.1802664823848175,Barreirinha,N,Norte,1
43935.0,2020,S,S,N,-4.383,-70.031,65,8793429,AM,AMAZONAS,464438,0,6484000,1036.141311086186,2706.09529876042,144.40603261815554,95.39091995323388,60.95965634240322,367.2611779763103,0.1112662314126214,Benjamin Constant,N,Norte,1
20093.0,2020,S,N,N,-3.898,-61.373,35,17251235,AM,AMAZONAS,861000,0,321000,793.9356825563495,356.80829274730587,113.18525397932312,17.634472544865858,7.655232026838597,110.42072633002486,0.1750356657746561,Beruri,N,Norte,1
19626.0,2020,S,N,N,-2.97,-57.59,32,2586829,AM,AMAZONAS,620000,0,46000,530.1238648732863,91.101253597494,75.7929482562805,7.02132848630337,1.764020782275057,59.07357410900401,0.1977609424032173,Boa Vista do Ramos,N,Norte,1
34635.0,2020,S,S,N,-8.752,-67.398,116,22348948,AM,AMAZONAS,4361500,75000,3838000,2724.476977243424,2213.9106789984426,387.9211439158483,92.53282644948531,48.7669972453219,475.7736708305676,0.2028687531136319,Boca do Acre,N,Norte,1
41748.0,2020,S,N,N,-4.388,-59.594,45,44251185,AM,AMAZONAS,2879988,0,7572000,2188.7145674129806,3411.4739349827005,308.44272968492174,127.0449239455294,76.33602537636979,546.2261673042743,0.1298429811271222,Borba,N,Norte,1
13283.0,2020,S,N,N,-3.328,-61.209,32,9456578,AM,AMAZONAS,100000,0,90000,162.70320260657962,135.0252620911609,23.10391674358522,5.613658004799524,2.977089906994322,28.79459161922143,0.1539744794725521,Caapiranga,N,Norte,1
15807.0,2020,S,S,N,-6.534,-64.383,55,29819631,AM,AMAZONAS,437500,0,0,452.4448299805502,42.38832785162677,64.73923385369449,4.850072828416749,0.7010246704513233,46.895172975797664,0.2059174039256944,Canutama,N,Norte,1
28508.0,2020,S,N,N,-4.883,-66.896,87,25767348,AM,AMAZONAS,1713000,0,5158500,2040.7965161343488,3390.10693812985,287.2885833002143,125.2167118884352,75.93601311964795,530.1467854575809,0.1274343630064554,Carauari,N,Norte,1
38348.0,2020,S,N,N,-3.768,-60.369,27,6091547,AM,AMAZONAS,4075000,124000,2996225,2220.588157438156,1588.7963107355574,317.1551800532001,68.48839917098243,34.83263212030715,365.14518863325287,0.2472304163145222,Careiro,N,Norte,1
30846.0,2020,S,N,N,-3.221,-59.826,25,2631128,AM,AMAZONAS,1633500,55000,1388000,1143.4875354312478,902.3414417992584,163.2472009660959,37.990725835726,19.851658138780767,196.3240307334622,0.2464748616299322,Careiro da Várzea,N,Norte,1
85910.0,2020,S,N,N,-4.085,-63.141,10,57921646,AM,AMAZONAS,5753241,0,2977652,1297.4852452311698,734.2969672895799,184.74914581713864,33.70303388208164,15.949920560630911,195.5129855711268,0.1676224604065855,Coari,N,Norte,1
29168.0,2020,S,N,N,-3.837,-62.057,47,18711626,AM,AMAZONAS,1422380,0,469000,891.2229522297322,367.7535170200479,127.10315010863955,18.736501379822307,7.847616798649426,120.68673199411305,0.1775976879654748,Codajás,N,Norte,1
35700.0,2020,S,N,N,-6.66,-69.874,124,15831571,AM,AMAZONAS,2263068,0,624632,1138.6082870106186,415.9884065225537,162.46391307142034,22.19789122748288,8.80097975820504,148.82367941507863,0.1810687963209616,Eirunepé,N,Norte,1
20393.0,2020,S,S,N,-7.433,-70.023,135,13369291,AM,AMAZONAS,558000,0,1940600,1003.9675526264828,1776.3467306278542,141.17093744022804,65.10811019108729,39.82695846947971,271.6207655554518,0.1250730539706476,Envira,N,Norte,1
17005.0,2020,S,N,N,-2.514,-66.092,62,12110907,AM,AMAZONAS,2379974,0,3040000,3333.66790071017,3472.724226487554,472.33928318292567,137.83190364055045,77.06315759563157,660.3152579082054,0.1453442996703714,Fonte Boa,N,Norte,1
16937.0,2020,S,S,N,-7.546,-72.584,0,8904244,AM,AMAZONAS,1363000,0,291000,1416.0256971500623,436.403522278709,202.16713125708267,24.99161176905861,9.103976895925806,177.0222198960292,0.1855544112877576,Guajará,N,Norte,1
56144.0,2020,S,N,N,-7.506,-63.021,58,33071667,AM,AMAZONAS,9436000,167492,20792276,4938.225444446668,7009.204401504127,698.2739588558073,264.494370898412,156.56485487264902,1161.5506579104554,0.1628359428260044,Humaitá,N,Norte,18
30436.0,2020,S,S,N,-7.051,-71.695,190,13565920,AM,AMAZONAS,732000,0,2509000,875.3897286575652,1539.344738887044,123.10525557691606,56.46265162153302,34.51007859351548,235.8875680283204,0.1253023337817773,Ipixuna,N,Norte,1
49011.0,2020,S,N,N,-3.285,-60.186,60,2215033,AM,AMAZONAS,14048900,2095000,7151600,5888.85480584819,3124.5875645925435,858.065321666653,147.29258415885482,67.39669728127632,833.0230969498848,0.5019564772932747,Iranduba,N,Norte,4
102701.0,2020,S,N,N,-3.143,-58.444,26,8891993,AM,AMAZONAS,13572400,205000,11222359,2815.8723077732275,2195.264244965188,400.9626228954635,92.62941784984169,48.29064019005757,482.6697198965067,0.200059880945326,Itacoatiara,N,Norte,1
7814.0,2020,S,N,N,-6.425,-68.253,60,25275890,AM,AMAZONAS,170000,0,925000,1048.1361868591669,2190.9294281505563,146.8847894199746,78.84089542634247,49.23285147981954,317.08035346587,0.1189788347114856,Itamarati,N,Norte,1
